date,start,end,n,filenames
"(2004, 3, 24)",17.916666666666668,17.916666666666668,1,['A2004084175500.L2_LAC_OC.nc']
"(2004, 3, 25)",18.666666666666668,18.666666666666668,1,['A2004085184000.L2_LAC_OC.nc']
"(2004, 3, 26)",17.75,17.75,1,['A2004086174500.L2_LAC_OC.nc']
"(2004, 3, 27)",18.416666666666668,18.416666666666668,1,['A2004087182500.L2_LAC_OC.nc']
"(2004, 3, 28)",17.5,17.5,1,['A2004088173000.L2_LAC_OC.nc']
"(2004, 3, 29)",18.25,18.25,1,['A2004089181500.L2_LAC_OC.nc']
"(2004, 3, 30)",17.333333333333332,19.0,3,"['A2004090172000.L2_LAC_OC.nc', 'A2004090190000.L2_LAC_OC.nc', 'A2004090185500.L2_LAC_OC.nc']"
"(2004, 3, 31)",18.0,18.083333333333332,2,"['A2004091180500.L2_LAC_OC.nc', 'A2004091180000.L2_LAC_OC.nc']"
"(2004, 4, 1)",18.75,18.75,1,['A2004092184500.L2_LAC_OC.nc']
"(2004, 4, 2)",17.833333333333332,17.833333333333332,1,['A2004093175000.L2_LAC_OC.nc']
"(2004, 4, 3)",18.583333333333332,18.583333333333332,1,['A2004094183500.L2_LAC_OC.nc']
"(2004, 4, 4)",17.666666666666668,17.666666666666668,1,['A2004095174000.L2_LAC_OC.nc']
"(2004, 4, 5)",18.333333333333332,18.333333333333332,1,['A2004096182000.L2_LAC_OC.nc']
"(2004, 4, 6)",17.416666666666668,19.083333333333332,2,"['A2004097172500.L2_LAC_OC.nc', 'A2004097190500.L2_LAC_OC.nc']"
"(2004, 4, 7)",18.166666666666668,18.166666666666668,1,['A2004098181000.L2_LAC_OC.nc']
"(2004, 4, 8)",17.25,18.833333333333332,2,"['A2004099185000.L2_LAC_OC.nc', 'A2004099171500.L2_LAC_OC.nc']"
"(2004, 4, 9)",17.916666666666668,17.916666666666668,1,['A2004100175500.L2_LAC_OC.nc']
"(2004, 4, 10)",18.666666666666668,18.666666666666668,1,['A2004101184000.L2_LAC_OC.nc']
"(2004, 4, 11)",17.75,17.75,1,['A2004102174500.L2_LAC_OC.nc']
"(2004, 4, 12)",18.416666666666668,18.416666666666668,1,['A2004103182500.L2_LAC_OC.nc']
"(2004, 4, 13)",17.5,17.5,1,['A2004104173000.L2_LAC_OC.nc']
"(2004, 4, 14)",18.25,18.25,1,['A2004105181500.L2_LAC_OC.nc']
"(2004, 4, 15)",17.333333333333332,19.0,3,"['A2004106185500.L2_LAC_OC.nc', 'A2004106190000.L2_LAC_OC.nc', 'A2004106172000.L2_LAC_OC.nc']"
"(2004, 4, 16)",18.0,18.083333333333332,2,"['A2004107180000.L2_LAC_OC.nc', 'A2004107180500.L2_LAC_OC.nc']"
"(2004, 4, 17)",17.166666666666668,18.75,2,"['A2004108171000.L2_LAC_OC.nc', 'A2004108184500.L2_LAC_OC.nc']"
"(2004, 4, 18)",17.833333333333332,17.833333333333332,1,['A2004109175000.L2_LAC_OC.nc']
"(2004, 4, 19)",18.583333333333332,18.583333333333332,1,['A2004110183500.L2_LAC_OC.nc']
"(2004, 4, 20)",17.666666666666668,17.666666666666668,1,['A2004111174000.L2_LAC_OC.nc']
"(2004, 4, 21)",18.333333333333332,18.333333333333332,1,['A2004112182000.L2_LAC_OC.nc']
"(2004, 4, 22)",17.416666666666668,19.083333333333332,2,"['A2004113172500.L2_LAC_OC.nc', 'A2004113190500.L2_LAC_OC.nc']"
"(2004, 4, 23)",18.166666666666668,18.166666666666668,1,['A2004114181000.L2_LAC_OC.nc']
"(2004, 4, 24)",17.25,18.833333333333332,2,"['A2004115185000.L2_LAC_OC.nc', 'A2004115171500.L2_LAC_OC.nc']"
"(2004, 4, 25)",17.916666666666668,17.916666666666668,1,['A2004116175500.L2_LAC_OC.nc']
"(2004, 4, 26)",18.666666666666668,18.666666666666668,1,['A2004117184000.L2_LAC_OC.nc']
"(2004, 4, 27)",17.75,17.75,1,['A2004118174500.L2_LAC_OC.nc']
"(2004, 4, 28)",18.416666666666668,18.416666666666668,1,['A2004119182500.L2_LAC_OC.nc']
"(2004, 4, 29)",17.5,17.5,1,['A2004120173000.L2_LAC_OC.nc']
"(2004, 4, 30)",18.25,18.25,1,['A2004121181500.L2_LAC_OC.nc']
"(2004, 5, 1)",17.333333333333332,19.0,2,"['A2004122190000.L2_LAC_OC.nc', 'A2004122172000.L2_LAC_OC.nc']"
"(2004, 5, 2)",18.0,18.083333333333332,2,"['A2004123180500.L2_LAC_OC.nc', 'A2004123180000.L2_LAC_OC.nc']"
"(2004, 5, 3)",17.166666666666668,18.75,2,"['A2004124184500.L2_LAC_OC.nc', 'A2004124171000.L2_LAC_OC.nc']"
"(2004, 5, 4)",17.833333333333332,17.833333333333332,1,['A2004125175000.L2_LAC_OC.nc']
"(2004, 5, 5)",18.583333333333332,18.583333333333332,1,['A2004126183500.L2_LAC_OC.nc']
"(2004, 5, 6)",17.666666666666668,17.666666666666668,1,['A2004127174000.L2_LAC_OC.nc']
"(2004, 5, 7)",18.333333333333332,18.333333333333332,1,['A2004128182000.L2_LAC_OC.nc']
"(2004, 5, 8)",17.416666666666668,19.083333333333332,2,"['A2004129190500.L2_LAC_OC.nc', 'A2004129172500.L2_LAC_OC.nc']"
"(2004, 5, 9)",18.166666666666668,18.166666666666668,1,['A2004130181000.L2_LAC_OC.nc']
"(2004, 5, 10)",17.25,18.833333333333332,2,"['A2004131171500.L2_LAC_OC.nc', 'A2004131185000.L2_LAC_OC.nc']"
"(2004, 5, 11)",17.916666666666668,17.916666666666668,1,['A2004132175500.L2_LAC_OC.nc']
"(2004, 5, 12)",18.666666666666668,18.666666666666668,1,['A2004133184000.L2_LAC_OC.nc']
"(2004, 5, 13)",17.75,17.75,1,['A2004134174500.L2_LAC_OC.nc']
"(2004, 5, 14)",18.416666666666668,18.5,2,"['A2004135183000.L2_LAC_OC.nc', 'A2004135182500.L2_LAC_OC.nc']"
"(2004, 5, 15)",17.5,17.583333333333332,2,"['A2004136173500.L2_LAC_OC.nc', 'A2004136173000.L2_LAC_OC.nc']"
"(2004, 5, 16)",18.25,18.25,1,['A2004137181500.L2_LAC_OC.nc']
"(2004, 5, 17)",17.333333333333332,19.0,2,"['A2004138172000.L2_LAC_OC.nc', 'A2004138190000.L2_LAC_OC.nc']"
"(2004, 5, 18)",18.083333333333332,18.083333333333332,1,['A2004139180500.L2_LAC_OC.nc']
"(2004, 5, 19)",17.166666666666668,18.75,2,"['A2004140184500.L2_LAC_OC.nc', 'A2004140171000.L2_LAC_OC.nc']"
"(2004, 5, 20)",17.833333333333332,17.833333333333332,1,['A2004141175000.L2_LAC_OC.nc']
"(2004, 5, 21)",18.583333333333332,18.583333333333332,1,['A2004142183500.L2_LAC_OC.nc']
"(2004, 5, 22)",17.666666666666668,17.666666666666668,1,['A2004143174000.L2_LAC_OC.nc']
"(2004, 5, 23)",18.333333333333332,18.333333333333332,1,['A2004144182000.L2_LAC_OC.nc']
"(2004, 5, 24)",17.416666666666668,19.083333333333332,2,"['A2004145190500.L2_LAC_OC.nc', 'A2004145172500.L2_LAC_OC.nc']"
"(2004, 5, 25)",18.166666666666668,18.166666666666668,1,['A2004146181000.L2_LAC_OC.nc']
"(2004, 5, 26)",17.25,18.916666666666668,3,"['A2004147185500.L2_LAC_OC.nc', 'A2004147171500.L2_LAC_OC.nc', 'A2004147185000.L2_LAC_OC.nc']"
"(2004, 5, 27)",17.916666666666668,17.916666666666668,1,['A2004148175500.L2_LAC_OC.nc']
"(2004, 5, 28)",18.666666666666668,18.666666666666668,1,['A2004149184000.L2_LAC_OC.nc']
"(2004, 5, 29)",17.75,17.75,1,['A2004150174500.L2_LAC_OC.nc']
"(2004, 5, 30)",18.416666666666668,18.5,2,"['A2004151182500.L2_LAC_OC.nc', 'A2004151183000.L2_LAC_OC.nc']"
"(2004, 5, 31)",17.5,17.583333333333332,2,"['A2004152173000.L2_LAC_OC.nc', 'A2004152173500.L2_LAC_OC.nc']"
"(2004, 6, 1)",18.25,18.25,1,['A2004153181500.L2_LAC_OC.nc']
"(2004, 6, 2)",17.333333333333332,19.0,2,"['A2004154190000.L2_LAC_OC.nc', 'A2004154172000.L2_LAC_OC.nc']"
"(2004, 6, 3)",18.083333333333332,18.083333333333332,1,['A2004155180500.L2_LAC_OC.nc']
"(2004, 6, 4)",17.166666666666668,18.75,2,"['A2004156171000.L2_LAC_OC.nc', 'A2004156184500.L2_LAC_OC.nc']"
"(2004, 6, 5)",17.833333333333332,17.833333333333332,1,['A2004157175000.L2_LAC_OC.nc']
"(2004, 6, 6)",18.583333333333332,18.583333333333332,1,['A2004158183500.L2_LAC_OC.nc']
"(2004, 6, 7)",17.666666666666668,17.666666666666668,1,['A2004159174000.L2_LAC_OC.nc']
"(2004, 6, 8)",18.333333333333332,18.333333333333332,1,['A2004160182000.L2_LAC_OC.nc']
"(2004, 6, 9)",17.416666666666668,19.083333333333332,2,"['A2004161172500.L2_LAC_OC.nc', 'A2004161190500.L2_LAC_OC.nc']"
"(2004, 6, 10)",18.166666666666668,18.166666666666668,1,['A2004162181000.L2_LAC_OC.nc']
"(2004, 6, 11)",17.25,18.916666666666668,3,"['A2004163185000.L2_LAC_OC.nc', 'A2004163185500.L2_LAC_OC.nc', 'A2004163171500.L2_LAC_OC.nc']"
"(2004, 6, 12)",17.916666666666668,18.0,2,"['A2004164175500.L2_LAC_OC.nc', 'A2004164180000.L2_LAC_OC.nc']"
"(2004, 6, 13)",18.666666666666668,18.666666666666668,1,['A2004165184000.L2_LAC_OC.nc']
"(2004, 6, 14)",17.75,17.75,1,['A2004166174500.L2_LAC_OC.nc']
"(2004, 6, 15)",18.416666666666668,18.5,2,"['A2004167182500.L2_LAC_OC.nc', 'A2004167183000.L2_LAC_OC.nc']"
"(2004, 6, 16)",17.5,17.583333333333332,2,"['A2004168173000.L2_LAC_OC.nc', 'A2004168173500.L2_LAC_OC.nc']"
"(2004, 6, 17)",18.25,18.25,1,['A2004169181500.L2_LAC_OC.nc']
"(2004, 6, 18)",17.333333333333332,19.0,2,"['A2004170190000.L2_LAC_OC.nc', 'A2004170172000.L2_LAC_OC.nc']"
"(2004, 6, 19)",18.083333333333332,18.083333333333332,1,['A2004171180500.L2_LAC_OC.nc']
"(2004, 6, 20)",17.166666666666668,18.75,2,"['A2004172171000.L2_LAC_OC.nc', 'A2004172184500.L2_LAC_OC.nc']"
"(2004, 6, 21)",17.833333333333332,17.833333333333332,1,['A2004173175000.L2_LAC_OC.nc']
"(2004, 6, 22)",18.583333333333332,18.583333333333332,1,['A2004174183500.L2_LAC_OC.nc']
"(2004, 6, 23)",17.666666666666668,17.666666666666668,1,['A2004175174000.L2_LAC_OC.nc']
"(2004, 6, 24)",18.333333333333332,18.333333333333332,1,['A2004176182000.L2_LAC_OC.nc']
"(2004, 6, 25)",17.416666666666668,19.083333333333332,2,"['A2004177172500.L2_LAC_OC.nc', 'A2004177190500.L2_LAC_OC.nc']"
"(2004, 6, 26)",18.166666666666668,18.166666666666668,1,['A2004178181000.L2_LAC_OC.nc']
"(2004, 6, 27)",17.25,18.916666666666668,3,"['A2004179185000.L2_LAC_OC.nc', 'A2004179185500.L2_LAC_OC.nc', 'A2004179171500.L2_LAC_OC.nc']"
"(2004, 6, 28)",17.916666666666668,18.0,2,"['A2004180175500.L2_LAC_OC.nc', 'A2004180180000.L2_LAC_OC.nc']"
"(2004, 6, 29)",18.666666666666668,18.666666666666668,1,['A2004181184000.L2_LAC_OC.nc']
"(2004, 6, 30)",17.75,17.75,1,['A2004182174500.L2_LAC_OC.nc']
"(2004, 7, 1)",18.416666666666668,18.5,2,"['A2004183182500.L2_LAC_OC.nc', 'A2004183183000.L2_LAC_OC.nc']"
"(2004, 7, 2)",17.5,17.583333333333332,2,"['A2004184173000.L2_LAC_OC.nc', 'A2004184173500.L2_LAC_OC.nc']"
"(2004, 7, 4)",17.333333333333332,19.0,2,"['A2004186172000.L2_LAC_OC.nc', 'A2004186190000.L2_LAC_OC.nc']"
"(2004, 7, 5)",18.083333333333332,18.083333333333332,1,['A2004187180500.L2_LAC_OC.nc']
"(2004, 7, 6)",17.166666666666668,18.75,2,"['A2004188184500.L2_LAC_OC.nc', 'A2004188171000.L2_LAC_OC.nc']"
"(2004, 7, 7)",17.833333333333332,17.833333333333332,1,['A2004189175000.L2_LAC_OC.nc']
"(2004, 7, 8)",18.583333333333332,18.583333333333332,1,['A2004190183500.L2_LAC_OC.nc']
"(2004, 7, 9)",17.666666666666668,17.666666666666668,1,['A2004191174000.L2_LAC_OC.nc']
"(2004, 7, 10)",18.333333333333332,18.333333333333332,1,['A2004192182000.L2_LAC_OC.nc']
"(2004, 7, 11)",17.416666666666668,19.083333333333332,2,"['A2004193190500.L2_LAC_OC.nc', 'A2004193172500.L2_LAC_OC.nc']"
"(2004, 7, 12)",18.166666666666668,18.166666666666668,1,['A2004194181000.L2_LAC_OC.nc']
"(2004, 7, 13)",17.25,18.916666666666668,3,"['A2004195171500.L2_LAC_OC.nc', 'A2004195185500.L2_LAC_OC.nc', 'A2004195185000.L2_LAC_OC.nc']"
"(2004, 7, 14)",17.916666666666668,18.0,2,"['A2004196180000.L2_LAC_OC.nc', 'A2004196175500.L2_LAC_OC.nc']"
"(2004, 7, 15)",18.666666666666668,18.666666666666668,1,['A2004197184000.L2_LAC_OC.nc']
"(2004, 7, 16)",17.75,17.75,1,['A2004198174500.L2_LAC_OC.nc']
"(2004, 7, 17)",18.416666666666668,18.5,2,"['A2004199183000.L2_LAC_OC.nc', 'A2004199182500.L2_LAC_OC.nc']"
"(2004, 7, 18)",17.5,17.583333333333332,2,"['A2004200173500.L2_LAC_OC.nc', 'A2004200173000.L2_LAC_OC.nc']"
"(2004, 7, 19)",18.25,18.25,1,['A2004201181500.L2_LAC_OC.nc']
"(2004, 7, 20)",17.333333333333332,19.0,2,"['A2004202172000.L2_LAC_OC.nc', 'A2004202190000.L2_LAC_OC.nc']"
"(2004, 7, 21)",18.083333333333332,18.083333333333332,1,['A2004203180500.L2_LAC_OC.nc']
"(2004, 7, 22)",17.166666666666668,18.75,2,"['A2004204184500.L2_LAC_OC.nc', 'A2004204171000.L2_LAC_OC.nc']"
"(2004, 7, 23)",17.833333333333332,17.833333333333332,1,['A2004205175000.L2_LAC_OC.nc']
"(2004, 7, 24)",18.583333333333332,18.583333333333332,1,['A2004206183500.L2_LAC_OC.nc']
"(2004, 7, 25)",17.666666666666668,17.666666666666668,1,['A2004207174000.L2_LAC_OC.nc']
"(2004, 7, 26)",18.333333333333332,18.333333333333332,1,['A2004208182000.L2_LAC_OC.nc']
"(2004, 7, 27)",17.416666666666668,19.083333333333332,2,"['A2004209190500.L2_LAC_OC.nc', 'A2004209172500.L2_LAC_OC.nc']"
"(2004, 7, 28)",18.166666666666668,18.166666666666668,1,['A2004210181000.L2_LAC_OC.nc']
"(2004, 7, 29)",17.25,18.916666666666668,3,"['A2004211171500.L2_LAC_OC.nc', 'A2004211185500.L2_LAC_OC.nc', 'A2004211185000.L2_LAC_OC.nc']"
"(2004, 7, 30)",17.916666666666668,17.916666666666668,1,['A2004212175500.L2_LAC_OC.nc']
"(2004, 7, 31)",18.666666666666668,18.666666666666668,1,['A2004213184000.L2_LAC_OC.nc']
"(2004, 8, 1)",17.75,17.75,1,['A2004214174500.L2_LAC_OC.nc']
"(2004, 8, 2)",18.416666666666668,18.5,2,"['A2004215182500.L2_LAC_OC.nc', 'A2004215183000.L2_LAC_OC.nc']"
"(2004, 8, 3)",17.5,17.583333333333332,2,"['A2004216173000.L2_LAC_OC.nc', 'A2004216173500.L2_LAC_OC.nc']"
"(2004, 8, 4)",18.25,18.25,1,['A2004217181500.L2_LAC_OC.nc']
"(2004, 8, 5)",17.333333333333332,19.0,2,"['A2004218190000.L2_LAC_OC.nc', 'A2004218172000.L2_LAC_OC.nc']"
"(2004, 8, 6)",18.083333333333332,18.083333333333332,1,['A2004219180500.L2_LAC_OC.nc']
"(2004, 8, 7)",17.166666666666668,18.75,2,"['A2004220171000.L2_LAC_OC.nc', 'A2004220184500.L2_LAC_OC.nc']"
"(2004, 8, 8)",17.833333333333332,17.833333333333332,1,['A2004221175000.L2_LAC_OC.nc']
"(2004, 8, 9)",18.583333333333332,18.583333333333332,1,['A2004222183500.L2_LAC_OC.nc']
"(2004, 8, 10)",17.666666666666668,17.666666666666668,1,['A2004223174000.L2_LAC_OC.nc']
"(2004, 8, 11)",18.333333333333332,18.333333333333332,1,['A2004224182000.L2_LAC_OC.nc']
"(2004, 8, 12)",17.416666666666668,19.083333333333332,2,"['A2004225172500.L2_LAC_OC.nc', 'A2004225190500.L2_LAC_OC.nc']"
"(2004, 8, 13)",18.166666666666668,18.166666666666668,1,['A2004226181000.L2_LAC_OC.nc']
"(2004, 8, 14)",17.25,18.916666666666668,3,"['A2004227185000.L2_LAC_OC.nc', 'A2004227171500.L2_LAC_OC.nc', 'A2004227185500.L2_LAC_OC.nc']"
"(2004, 8, 15)",17.916666666666668,18.0,2,"['A2004228175500.L2_LAC_OC.nc', 'A2004228180000.L2_LAC_OC.nc']"
"(2004, 8, 16)",18.666666666666668,18.666666666666668,1,['A2004229184000.L2_LAC_OC.nc']
"(2004, 8, 17)",17.75,17.75,1,['A2004230174500.L2_LAC_OC.nc']
"(2004, 8, 18)",18.416666666666668,18.5,2,"['A2004231182500.L2_LAC_OC.nc', 'A2004231183000.L2_LAC_OC.nc']"
"(2004, 8, 19)",17.5,17.583333333333332,2,"['A2004232173000.L2_LAC_OC.nc', 'A2004232173500.L2_LAC_OC.nc']"
"(2004, 8, 20)",18.25,18.25,1,['A2004233181500.L2_LAC_OC.nc']
"(2004, 8, 21)",17.333333333333332,19.0,2,"['A2004234190000.L2_LAC_OC.nc', 'A2004234172000.L2_LAC_OC.nc']"
"(2004, 8, 22)",18.083333333333332,18.083333333333332,1,['A2004235180500.L2_LAC_OC.nc']
"(2004, 8, 23)",17.166666666666668,18.75,2,"['A2004236171000.L2_LAC_OC.nc', 'A2004236184500.L2_LAC_OC.nc']"
"(2004, 8, 24)",17.833333333333332,17.833333333333332,1,['A2004237175000.L2_LAC_OC.nc']
"(2004, 8, 25)",18.583333333333332,18.583333333333332,1,['A2004238183500.L2_LAC_OC.nc']
"(2004, 8, 26)",17.666666666666668,17.666666666666668,1,['A2004239174000.L2_LAC_OC.nc']
"(2004, 8, 27)",18.333333333333332,18.333333333333332,1,['A2004240182000.L2_LAC_OC.nc']
"(2004, 8, 28)",17.416666666666668,19.083333333333332,2,"['A2004241172500.L2_LAC_OC.nc', 'A2004241190500.L2_LAC_OC.nc']"
"(2004, 8, 29)",18.166666666666668,18.166666666666668,1,['A2004242181000.L2_LAC_OC.nc']
"(2004, 8, 30)",17.25,18.916666666666668,3,"['A2004243185000.L2_LAC_OC.nc', 'A2004243171500.L2_LAC_OC.nc', 'A2004243185500.L2_LAC_OC.nc']"
"(2004, 8, 31)",17.916666666666668,18.0,2,"['A2004244175500.L2_LAC_OC.nc', 'A2004244180000.L2_LAC_OC.nc']"
"(2004, 9, 1)",18.666666666666668,18.666666666666668,1,['A2004245184000.L2_LAC_OC.nc']
"(2004, 9, 2)",17.75,17.75,1,['A2004246174500.L2_LAC_OC.nc']
"(2004, 9, 3)",18.5,18.5,1,['A2004247183000.L2_LAC_OC.nc']
"(2004, 9, 4)",17.583333333333332,17.583333333333332,1,['A2004248173500.L2_LAC_OC.nc']
"(2004, 9, 5)",18.25,18.25,1,['A2004249181500.L2_LAC_OC.nc']
"(2004, 9, 6)",17.333333333333332,19.0,2,"['A2004250190000.L2_LAC_OC.nc', 'A2004250172000.L2_LAC_OC.nc']"
"(2004, 9, 7)",18.083333333333332,18.083333333333332,1,['A2004251180500.L2_LAC_OC.nc']
"(2004, 9, 8)",17.166666666666668,18.75,2,"['A2004252171000.L2_LAC_OC.nc', 'A2004252184500.L2_LAC_OC.nc']"
"(2004, 9, 9)",17.833333333333332,17.833333333333332,1,['A2004253175000.L2_LAC_OC.nc']
"(2004, 9, 10)",18.583333333333332,18.583333333333332,1,['A2004254183500.L2_LAC_OC.nc']
"(2004, 9, 11)",17.666666666666668,17.666666666666668,1,['A2004255174000.L2_LAC_OC.nc']
"(2004, 9, 12)",18.333333333333332,18.333333333333332,1,['A2004256182000.L2_LAC_OC.nc']
"(2004, 9, 13)",17.416666666666668,19.083333333333332,2,"['A2004257172500.L2_LAC_OC.nc', 'A2004257190500.L2_LAC_OC.nc']"
"(2004, 9, 14)",18.166666666666668,18.166666666666668,1,['A2004258181000.L2_LAC_OC.nc']
"(2004, 9, 15)",17.25,18.916666666666668,3,"['A2004259185000.L2_LAC_OC.nc', 'A2004259185500.L2_LAC_OC.nc', 'A2004259171500.L2_LAC_OC.nc']"
"(2004, 9, 16)",17.916666666666668,18.0,2,"['A2004260175500.L2_LAC_OC.nc', 'A2004260180000.L2_LAC_OC.nc']"
"(2004, 9, 17)",18.666666666666668,18.666666666666668,1,['A2004261184000.L2_LAC_OC.nc']
"(2004, 9, 18)",17.75,17.75,1,['A2004262174500.L2_LAC_OC.nc']
"(2004, 9, 19)",18.5,18.5,1,['A2004263183000.L2_LAC_OC.nc']
"(2004, 9, 20)",17.583333333333332,17.583333333333332,1,['A2004264173500.L2_LAC_OC.nc']
"(2004, 9, 21)",18.25,18.25,1,['A2004265181500.L2_LAC_OC.nc']
"(2004, 9, 22)",17.333333333333332,19.0,2,"['A2004266190000.L2_LAC_OC.nc', 'A2004266172000.L2_LAC_OC.nc']"
"(2004, 9, 23)",18.083333333333332,18.083333333333332,1,['A2004267180500.L2_LAC_OC.nc']
"(2004, 9, 24)",18.75,18.75,1,['A2004268184500.L2_LAC_OC.nc']
"(2004, 9, 25)",17.833333333333332,17.833333333333332,1,['A2004269175000.L2_LAC_OC.nc']
"(2004, 9, 26)",18.583333333333332,18.583333333333332,1,['A2004270183500.L2_LAC_OC.nc']
"(2004, 9, 27)",17.666666666666668,17.666666666666668,1,['A2004271174000.L2_LAC_OC.nc']
"(2004, 9, 28)",18.333333333333332,18.333333333333332,1,['A2004272182000.L2_LAC_OC.nc']
"(2004, 9, 29)",17.416666666666668,19.083333333333332,2,"['A2004273190500.L2_LAC_OC.nc', 'A2004273172500.L2_LAC_OC.nc']"
"(2004, 9, 30)",18.166666666666668,18.166666666666668,1,['A2004274181000.L2_LAC_OC.nc']
"(2004, 10, 1)",17.25,18.916666666666668,3,"['A2004275185500.L2_LAC_OC.nc', 'A2004275171500.L2_LAC_OC.nc', 'A2004275185000.L2_LAC_OC.nc']"
"(2004, 10, 2)",17.916666666666668,18.0,2,"['A2004276180000.L2_LAC_OC.nc', 'A2004276175500.L2_LAC_OC.nc']"
"(2004, 10, 3)",18.666666666666668,18.666666666666668,1,['A2004277184000.L2_LAC_OC.nc']
"(2004, 10, 4)",17.75,17.75,1,['A2004278174500.L2_LAC_OC.nc']
"(2004, 10, 5)",18.416666666666668,18.5,2,"['A2004279183000.L2_LAC_OC.nc', 'A2004279182500.L2_LAC_OC.nc']"
"(2004, 10, 6)",17.5,17.583333333333332,2,"['A2004280173500.L2_LAC_OC.nc', 'A2004280173000.L2_LAC_OC.nc']"
"(2004, 10, 7)",18.25,18.25,1,['A2004281181500.L2_LAC_OC.nc']
"(2004, 10, 8)",17.333333333333332,19.0,2,"['A2004282172000.L2_LAC_OC.nc', 'A2004282190000.L2_LAC_OC.nc']"
"(2004, 10, 9)",18.083333333333332,18.083333333333332,1,['A2004283180500.L2_LAC_OC.nc']
"(2004, 10, 10)",18.75,18.75,1,['A2004284184500.L2_LAC_OC.nc']
"(2004, 10, 11)",17.833333333333332,17.833333333333332,1,['A2004285175000.L2_LAC_OC.nc']
"(2004, 10, 12)",18.583333333333332,18.583333333333332,1,['A2004286183500.L2_LAC_OC.nc']
"(2004, 10, 13)",17.666666666666668,17.666666666666668,1,['A2004287174000.L2_LAC_OC.nc']
"(2004, 10, 14)",18.333333333333332,18.333333333333332,1,['A2004288182000.L2_LAC_OC.nc']
"(2004, 10, 15)",17.416666666666668,19.083333333333332,2,"['A2004289172500.L2_LAC_OC.nc', 'A2004289190500.L2_LAC_OC.nc']"
"(2004, 10, 16)",18.166666666666668,18.166666666666668,1,['A2004290181000.L2_LAC_OC.nc']
"(2004, 10, 17)",17.25,18.916666666666668,3,"['A2004291185000.L2_LAC_OC.nc', 'A2004291185500.L2_LAC_OC.nc', 'A2004291171500.L2_LAC_OC.nc']"
"(2004, 10, 18)",17.916666666666668,17.916666666666668,1,['A2004292175500.L2_LAC_OC.nc']
"(2004, 10, 19)",18.666666666666668,18.666666666666668,1,['A2004293184000.L2_LAC_OC.nc']
"(2004, 10, 20)",17.75,17.75,1,['A2004294174500.L2_LAC_OC.nc']
"(2004, 10, 21)",18.416666666666668,18.5,2,"['A2004295183000.L2_LAC_OC.nc', 'A2004295182500.L2_LAC_OC.nc']"
"(2004, 10, 22)",17.5,17.583333333333332,2,"['A2004296173500.L2_LAC_OC.nc', 'A2004296173000.L2_LAC_OC.nc']"
"(2004, 10, 23)",18.25,18.25,1,['A2004297181500.L2_LAC_OC.nc']
"(2004, 10, 24)",17.333333333333332,19.0,2,"['A2004298172000.L2_LAC_OC.nc', 'A2004298190000.L2_LAC_OC.nc']"
"(2004, 10, 25)",18.083333333333332,18.083333333333332,1,['A2004299180500.L2_LAC_OC.nc']
"(2004, 10, 26)",18.75,18.75,1,['A2004300184500.L2_LAC_OC.nc']
"(2004, 10, 27)",17.833333333333332,17.833333333333332,1,['A2004301175000.L2_LAC_OC.nc']
"(2004, 10, 28)",18.583333333333332,18.583333333333332,1,['A2004302183500.L2_LAC_OC.nc']
"(2004, 10, 29)",17.666666666666668,17.666666666666668,1,['A2004303174000.L2_LAC_OC.nc']
"(2004, 10, 30)",18.333333333333332,18.333333333333332,1,['A2004304182000.L2_LAC_OC.nc']
"(2004, 10, 31)",17.416666666666668,19.083333333333332,2,"['A2004305172500.L2_LAC_OC.nc', 'A2004305190500.L2_LAC_OC.nc']"
"(2004, 11, 1)",18.166666666666668,18.166666666666668,1,['A2004306181000.L2_LAC_OC.nc']
"(2004, 11, 2)",17.25,18.916666666666668,3,"['A2004307185000.L2_LAC_OC.nc', 'A2004307171500.L2_LAC_OC.nc', 'A2004307185500.L2_LAC_OC.nc']"
"(2004, 11, 3)",17.916666666666668,17.916666666666668,1,['A2004308175500.L2_LAC_OC.nc']
"(2004, 11, 4)",18.666666666666668,18.666666666666668,1,['A2004309184000.L2_LAC_OC.nc']
"(2004, 11, 5)",17.75,17.75,1,['A2004310174500.L2_LAC_OC.nc']
"(2004, 11, 6)",18.416666666666668,18.5,2,"['A2004311183000.L2_LAC_OC.nc', 'A2004311182500.L2_LAC_OC.nc']"
"(2004, 11, 7)",17.5,17.583333333333332,2,"['A2004312173500.L2_LAC_OC.nc', 'A2004312173000.L2_LAC_OC.nc']"
"(2004, 11, 8)",18.25,18.25,1,['A2004313181500.L2_LAC_OC.nc']
"(2004, 11, 9)",17.333333333333332,19.0,2,"['A2004314172000.L2_LAC_OC.nc', 'A2004314190000.L2_LAC_OC.nc']"
"(2004, 11, 10)",18.083333333333332,18.083333333333332,1,['A2004315180500.L2_LAC_OC.nc']
"(2004, 11, 11)",18.75,18.75,1,['A2004316184500.L2_LAC_OC.nc']
"(2004, 11, 12)",17.833333333333332,17.833333333333332,1,['A2004317175000.L2_LAC_OC.nc']
"(2004, 11, 13)",18.583333333333332,18.583333333333332,1,['A2004318183500.L2_LAC_OC.nc']
"(2004, 11, 14)",17.666666666666668,17.666666666666668,1,['A2004319174000.L2_LAC_OC.nc']
"(2004, 11, 15)",18.333333333333332,18.333333333333332,1,['A2004320182000.L2_LAC_OC.nc']
